bigram_lower,SUM,ADJ,MIR
SUM,400,281,119
very_important,9,6,3
very_good,9,7,2
too_familiar,5,5,0
as_young,4,2,2
still_alive,4,3,1
more_important,4,3,1
all_right,4,4,0
too_afraid,3,3,0
very_special,3,0,3
less_good,3,3,0
as_mundane,3,0,3
as_divisive,3,0,3
so_strong,3,3,0
too_young,3,2,1
too_frequent,2,2,0
too_intrusive,2,2,0
too_real,2,2,0
totally_different,2,1,1
too_small,2,2,0
very_bad,2,1,1
very_competitive,2,2,0
very_excited,2,2,0
simply_unprepared,2,0,2
very_healthy,2,2,0
so_beautiful,2,0,2
so_excited,2,2,0
little_more,2,2,0
too_common,2,2,0
so_good,2,1,1
possibly_suspect,2,2,0
so_young,2,0,2
perfectly_legal,2,2,0
so_ugly,2,1,1
more_interested,2,2,0
more_likely,2,2,0
more_valuable,2,1,1
most_important,2,2,0
much_better,2,1,1
much_higher,2,1,1
no_older,2,0,2
equally_important,2,2,0
too_great,2,2,0
very_simple,2,1,1
very_proud,2,1,1
very_strong,2,2,0
very_unique,2,0,2
as_good,2,1,1
dangerously_violent,2,2,0
as_simple,2,0,2
very_wrong,2,1,1
so_important,1,0,1
so_intense,1,1,0
very_thankful,1,1,0
so_inclusive,1,1,0
so_ill,1,0,1
very_tough,1,1,0
so_open,1,1,0
very_uncomfortable,1,1,0
so_high,1,0,1
so_hard,1,1,0
so_negative,1,1,0
very_interesting,1,1,0
so_outrageous,1,1,0
so_poor,1,1,0
so_sick,1,0,1
so_sore,1,1,0
so_special,1,0,1
very_surprised,1,1,0
so_stubborn,1,1,0
so_stupid,1,1,0
so_sweet,1,0,1
so_tragic,1,0,1
very_straightforward,1,0,1
so_wrong,1,1,0
so_primitive,1,0,1
very_upset,1,1,0
so_graphic,1,0,1
very_warm,1,1,0
really_big,1,0,1
really_cautious,1,1,0
really_different,1,1,0
really_excited,1,0,1
really_good,1,1,0
really_proud,1,0,1
really_sad,1,1,0
reasonably_close,1,0,1
reasonably_sure,1,1,0
remarkably_comfortable,1,0,1
seriously_injured,1,1,0
sexually_graphic,1,1,0
simply_happy,1,1,0
simply_tired,1,1,0
well_qualified,1,0,1
so_afraid,1,1,0
so_arrogant,1,0,1
well_aware,1,1,0
so_brave,1,1,0
so_brazen,1,1,0
virtually_identical,1,1,0
so_close,1,1,0
so_complicated,1,1,0
so_dense,1,1,0
very_worried,1,1,0
so_exciting,1,0,1
so_fearful,1,1,0
very_sinister,1,0,1
still_eligible,1,1,0
very_similar,1,0,1
too_sympathetic,1,1,0
very_positive,1,1,0
very_pleased,1,1,0
truly_special,1,0,1
uniquely_american,1,0,1
very_appealing,1,0,1
very_passionate,1,0,1
very_clear,1,1,0
very_old,1,1,0
very_dangerous,1,0,1
very_dark,1,0,1
very_determined,1,1,0
very_different,1,1,0
very_difficult,1,1,0
very_dramatic,1,1,0
very_expensive,1,1,0
very_fearful,1,1,0
very_focused,1,1,0
very_friendly,1,0,1
very_odd,1,0,1
very_happy,1,0,1
very_hard,1,1,0
very_normal,1,0,1
very_helpful,1,1,0
very_high,1,1,0
very_ill,1,1,0
very_nice,1,1,0
very_little,1,0,1
too_willing,1,1,0
very_professional,1,1,0
very_interested,1,1,0
too_slow,1,1,0
still_unable,1,1,0
still_visible,1,1,0
strongly_different,1,1,0
super_sexy,1,1,0
technically_illegal,1,1,0
terminally_ill,1,0,1
too_aggressive,1,1,0
too_appropriate,1,1,0
too_busy,1,1,0
too_clear,1,1,0
very_significant,1,0,1
too_dangerous,1,1,0
too_drunk,1,1,0
too_easy,1,1,0
very_sick,1,0,1
too_expensive,1,1,0
very_serious,1,0,1
very_reluctant,1,1,0
too_general,1,1,0
very_recent,1,1,0
really_available,1,1,0
too_high,1,1,0
very_raw,1,1,0
too_late,1,1,0
too_low,1,1,0
too_much,1,1,0
too_partisan,1,1,0
really_bad,1,1,0
about_more,1,0,1
real_nice,1,1,0
extremely_quiet,1,1,0
extremely_independent,1,1,0
extremely_fair,1,1,0
extremely_enthusiastic,1,1,0
extremely_controversial,1,1,0
extremely_ambiguous,1,1,0
exactly_beautiful,1,1,0
even_younger,1,0,1
even_sinister,1,1,0
even_greater,1,1,0
even_conservative,1,1,0
even_angry,1,1,0
essentially_irrational,1,0,1
especially_tough,1,1,0
equally_worthy,1,1,0
equally_stunning,1,1,0
extremely_proud,1,0,1
extremely_tight,1,1,0
just_inevitable,1,1,0
far_different,1,0,1
just_fabulous,1,1,0
just_amazing,1,1,0
increasingly_difficult,1,0,1
immediately_visible,1,0,1
humanly_possible,1,0,1
home_happy,1,1,0
highly_unusual,1,0,1
highly_specific,1,1,0
highly_confidential,1,1,0
highly_authoritarian,1,1,0
highly_abusive,1,1,0
half_empty,1,1,0
freely_available,1,1,0
far_worse,1,1,0
far_larger,1,1,0
equally_committed,1,1,0
entirely_possible,1,1,0
eminently_qualified,1,0,1
drastically_wrong,1,1,0
as_massive,1,0,1
as_large,1,1,0
as_important,1,1,0
as_fragile,1,1,0
as_curious,1,1,0
as_conservative,1,0,1
as_clean,1,1,0
as_broad,1,0,1
as_big,1,0,1
as_aggressive,1,0,1
also_enthusiastic,1,1,0
also_affordable,1,1,0
already_old,1,1,0
absolutely_perfect,1,1,0
absolutely_different,1,1,0
as_normal,1,1,0
as_obvious,1,0,1
as_powerless,1,1,0
critically_dry,1,1,0
disturbingly_wrong,1,1,0
deliberately_negative,1,0,1
deeply_committed,1,0,1
dangerously_high,1,1,0
dangerously_close,1,1,0
critically_ill,1,0,1
completely_natural,1,1,0
as_small,1,1,0
completely_irrelevant,1,0,1
completely_different,1,0,1
brutally_violent,1,1,0
better_able,1,1,0
barely_aware,1,1,0
as_unpredictable,1,1,0
just_fantastic,1,1,0
kinda_anxious,1,1,0
real_big,1,0,1
pretty_complicated,1,1,0
practically_anonymous,1,0,1
plain_weird,1,1,0
perfectly_normal,1,0,1
particularly_interested,1,1,0
painfully_tragic,1,1,0
overly_concerned,1,0,1
now_dead,1,1,0
noticeably_thin,1,1,0
no_more,1,0,1
much_worse,1,1,0
much_more,1,0,1
mostly_upset,1,1,0
most_effective,1,1,0
most_difficult,1,1,0
more_unique,1,0,1
practically_unheard,1,0,1
pretty_happy,1,1,0
legally_insane,1,1,0
pretty_hard,1,1,0
readily_available,1,1,0
rather_simple,1,0,1
rather_primitive,1,1,0
quite_startling,1,0,1
quite_proficient,1,0,1
quite_notorious,1,1,0
quite_happy,1,1,0
quite_flexible,1,1,0
absolutely_certain,1,1,0
quite_controversial,1,0,1
purely_american,1,0,1
probably_glad,1,1,0
pretty_tired,1,1,0
pretty_nasty,1,1,0
pretty_much,1,1,0
more_subtle,1,1,0
more_substantial,1,1,0
more_sinister,1,1,0
more_serious,1,0,1
more_consistent,1,1,0
more_concerned,1,1,0
more_comfortable,1,1,0
more_challenging,1,1,0
more_appropriate,1,1,0
more_ambitious,1,0,1
more_akin,1,0,1
more_aggressive,1,1,0
more_advantageous,1,1,0
mentally_unstable,1,0,1
mentally_strong,1,1,0
little_better,1,1,0
less_welcoming,1,1,0
less_threatening,1,0,1
less_important,1,1,0
more_contemporary,1,1,0
more_creative,1,1,0
more_enthusiastic,1,1,0
more_memorable,1,1,0
more_restrictive,1,1,0
more_precise,1,1,0
more_original,1,0,1
more_objective,1,1,0
more_motivated,1,1,0
more_modern,1,1,0
more_loyal,1,0,1
more_equal,1,1,0
more_interesting,1,0,1
more_intense,1,1,0
more_injured,1,1,0
more_generous,1,1,0
more_forthcoming,1,1,0
more_expensive,1,1,0
quite_excited,1,1,0
