hit_id,colloc,sent_text,neg_form,adv_form,adj_form,text_window,sent_id,prev_sent,token_str,lemma_str,next_sent,neg_lemma,adv_lemma,adj_lemma,neg_index,adv_index,adj_index,dep_neg_source,dep_neg_target,dep_neg_relation,dep_mod_source,dep_mod_target,dep_mod_relation,json_source,match_ix,category
nyt_eng_19991206_0151_38:2-3-4,particularly_fond,"I 'm not particularly fond of music in the O.R. , but if there is music , I prefer it to be classical _ especially the symphonies of Beethoven and Brahms _ and reasonably sedate .",not,particularly,fond,i 'm not particularly fond of music,nyt_eng_19991206_0151_38,"_ Theresa Quinn , ' 92 , surgical resident , University of California , San Francisco","i 'm not particularly fond of music in the O.R. , but if there is music , I prefer it to be classical _ especially the symphonies of Beethoven and Brahms _ and reasonably sedate .","I be not particularly fond of music in the O.R. , but if there be music , I prefer it to be classical _ especially the symphony of Beethoven and Brahms _ and reasonably sedate .","There 's a rhythm to operating , and it should n't be broken by anything that has a different rhythm .",not,particularly,fond,2,3,4,"{'lemma': 'fond', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'fond'}",neg,"{'lemma': 'fond', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'particularly', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'fond'}",advmod,nyt_eng_199912,2-3-4,immediateNeg
nyt_eng_19991206_0151_24:4-5-6,quite_true,"Actually , that 's not quite true .",not,quite,true,that 's not quite true .,nyt_eng_19991206_0151_24,I listen to whatever the attendings damn well want .,"actually , that 's not quite true .","actually , that be not quite true .",It 's whatever the attendings want but the nurses do n't veto .,not,quite,true,4,5,6,"{'lemma': 'true', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 4, 'xpos': 'RB', 'deprel': 'neg', 'head': 'true'}",neg,"{'lemma': 'true', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'quite', 'ix': 5, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'true'}",advmod,nyt_eng_199912,4-5-6,immediateNeg
nyt_eng_19991206_0145_49:3-4-5,about_lessoning,The theater is not about lessoning .,not,about,lessoning,theater is not about lessoning .,nyt_eng_19991206_0145_49,"-LBQ-  He kept saying , ` Valerie , we do not want a history lesson .",the theater is not about lessoning .,the theater be not about lessoning .,"It 's about moving people to laughter , to tears , to thoughts .",not,about,lessoning,3,4,5,"{'lemma': 'lessoning', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'lessoning'}",neg,"{'lemma': 'lessoning', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'about', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'lessoning'}",advmod,nyt_eng_199912,3-4-5,immediateNeg
nyt_eng_19991206_0110_6:63-64-65,as_severe,"McGorry , who is the co-author of  -LBQ-  The Recognition and Management of Early Psychosis  -RDQ-  -LRB- Cambridge University Press , 1999 -RRB- , said his study had aroused little controversy in Australia , perhaps because that country has a more developed community network for treating mental illness in adolescents , and because the social consequences of a diagnosis of mental disorder are not as severe there .",not,as,severe,disorder are not as severe there .,nyt_eng_19991206_0110_6,-LBQ-  These patients are very much in touch .  -RDQ-,"McGorry , who is the co-author of `` The Recognition and Management of Early Psychosis '' -LRB- Cambridge University Press , 1999 -RRB- , said his study had aroused little controversy in Australia , perhaps because that country has a more developed community network for treating mental illness in adolescents , and because the social consequences of a diagnosis of mental disorder are not as severe there .","McGorry , who be the co-author of `` the Recognition and Management of Early Psychosis '' -lrb- Cambridge University Press , 1999 -rrb- , say he study had arouse little controversy in Australia , perhaps because that country have a more developed community network for treat mental illness in adolescent , and because the social consequence of a diagnosis of mental disorder be not as severe there .","Yet both he and McGlashan are well aware of the difficult questions their studies raise , and they have both gone to some lengths to address them .",not,as,severe,63,64,65,"{'lemma': 'severe', 'ix': 65, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'arouse'}","{'lemma': 'not', 'ix': 63, 'xpos': 'RB', 'deprel': 'neg', 'head': 'severe'}",neg,"{'lemma': 'severe', 'ix': 65, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'arouse'}","{'lemma': 'as', 'ix': 64, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'severe'}",advmod,nyt_eng_199912,63-64-65,immediateNeg
nyt_eng_19991206_0101_2:17-18-19,only_popular,"But to the surprise of professional dietitians , many of these sites have turned out to be not only popular but effective .",not,only,popular,to be not only popular but effective,nyt_eng_19991206_0101_2,It was probably inevitable that the World Wide Web would bloom with sites for dieters .,"but to the surprise of professional dietitians , many of these sites have turned out to be not only popular but effective .","but to the surprise of professional dietitian , many of these site have turn out to be not only popular but effective .","From fee-based ventures like eDiets.com to free ones like Cyberdiet.com , a cornucopia of sites has sprung up in the last year or two to provide nutrition and diet advice .",not,only,popular,17,18,19,"{'lemma': 'popular', 'ix': 19, 'xpos': 'JJ', 'deprel': 'xcomp', 'head': 'turn'}","{'lemma': 'not', 'ix': 17, 'xpos': 'RB', 'deprel': 'neg', 'head': 'popular'}",neg,"{'lemma': 'popular', 'ix': 19, 'xpos': 'JJ', 'deprel': 'xcomp', 'head': 'turn'}","{'lemma': 'only', 'ix': 18, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'popular'}",advmod,nyt_eng_199912,17-18-19,immediateNeg
nyt_eng_19991206_0100_2:17-18-19,only_popular,"But to the surprise of professional dietitians , many of these sites have turned out to be not only popular but effective .",not,only,popular,to be not only popular but effective,nyt_eng_19991206_0100_2,It was probably inevitable that the World Wide Web would bloom with sites for dieters .,"but to the surprise of professional dietitians , many of these sites have turned out to be not only popular but effective .","but to the surprise of professional dietitian , many of these site have turn out to be not only popular but effective .","From fee-based ventures like eDiets.com to free ones like Cyberdiet.com , a cornucopia of sites has sprung up in the last year or two to provide nutrition and diet advice .",not,only,popular,17,18,19,"{'lemma': 'popular', 'ix': 19, 'xpos': 'JJ', 'deprel': 'xcomp', 'head': 'turn'}","{'lemma': 'not', 'ix': 17, 'xpos': 'RB', 'deprel': 'neg', 'head': 'popular'}",neg,"{'lemma': 'popular', 'ix': 19, 'xpos': 'JJ', 'deprel': 'xcomp', 'head': 'turn'}","{'lemma': 'only', 'ix': 18, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'popular'}",advmod,nyt_eng_199912,17-18-19,immediateNeg
nyt_eng_19991206_0093_7:0-15-16,as_cold,"Without it , the relatively mild climate of England , for instance , might be as cold as that of northern Canada .",without,as,cold,"without it , the relatively mild climate of England , for instance , might be as cold as that",nyt_eng_19991206_0093_7,It is replaced by warm water from the tropics that warms the North Atlantic region .,"without it , the relatively mild climate of England , for instance , might be as cold as that of northern Canada .","without it , the relatively mild climate of England , for instance , might be as cold as that of northern Canada .",The worry is that a great influx of fresh water from the thawing Arctic might dilute the salty current and so either halt or weaken the heat-bearing conveyor belt .,without,as,cold,0,15,16,"{'lemma': 'cold', 'ix': 16, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'without', 'ix': 0, 'xpos': 'IN', 'deprel': 'prep', 'head': 'cold'}",prep,"{'lemma': 'cold', 'ix': 16, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'as', 'ix': 15, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'cold'}",advmod,nyt_eng_199912,0-15-16,immediateNeg
nyt_eng_19991206_0086_15:4-5-6,as_effective,"The pendulum approach is not as effective as the data-based technique , but the latter is poor at ignoring flapping clothing , such as skirts , when analyzing a gait .",not,as,effective,approach is not as effective as the,nyt_eng_19991206_0086_15,"At present , both techniques have their drawbacks .","the pendulum approach is not as effective as the data-based technique , but the latter is poor at ignoring flapping clothing , such as skirts , when analyzing a gait .","the pendulum approach be not as effective as the data-based technique , but the latter be poor at ignore flap clothing , such as skirt , when analyze a gait .","Funding permitting , the Southampton team say it would take them six months to develop an analysis system that draws on the strengths of both systems .",not,as,effective,4,5,6,"{'lemma': 'effective', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 4, 'xpos': 'RB', 'deprel': 'neg', 'head': 'effective'}",neg,"{'lemma': 'effective', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'as', 'ix': 5, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'effective'}",advmod,nyt_eng_199912,4-5-6,immediateNeg
nyt_eng_19991206_0068_40:17-18-19,only_popular,"But to the surprise of professional dietitians , many of these sites have turned out to be not only popular but effective .",not,only,popular,to be not only popular but effective,nyt_eng_19991206_0068_40,the World Wide Web would bloom with sites for dieters .,"but to the surprise of professional dietitians , many of these sites have turned out to be not only popular but effective .","but to the surprise of professional dietitian , many of these site have turn out to be not only popular but effective .",By David Rampe .,not,only,popular,17,18,19,"{'lemma': 'popular', 'ix': 19, 'xpos': 'JJ', 'deprel': 'xcomp', 'head': 'turn'}","{'lemma': 'not', 'ix': 17, 'xpos': 'RB', 'deprel': 'neg', 'head': 'popular'}",neg,"{'lemma': 'popular', 'ix': 19, 'xpos': 'JJ', 'deprel': 'xcomp', 'head': 'turn'}","{'lemma': 'only', 'ix': 18, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'popular'}",advmod,nyt_eng_199912,17-18-19,immediateNeg
nyt_eng_19991206_0059_19:3-6-7,more_shrewd,"There will probably never be one more shrewd or lyrical than John Bayley 's  -LBQ-  Elegy for Iris  -RDQ-  -LRB- St. Martin 's , $ 22.95 -RRB- , about his late wife , novelist Iris Murdoch .",never,more,shrewd,will probably never be one more shrewd or lyrical,nyt_eng_19991206_0059_19,"Alzheimer 's disease and its griefs have elicited many books , especially about the experience of the loving caregiver .","there will probably never be one more shrewd or lyrical than John Bayley 's `` Elegy for Iris '' -LRB- St. Martin 's , $ 22.95 -RRB- , about his late wife , novelist Iris Murdoch .","there will probably never be one more shrewd or lyrical than John Bayley 's `` Elegy for Iris '' -lrb- St. Martin 's , $ 22.95 -rrb- , about he late wife , novelist Iris Murdoch .",The book is divided into  -LBQ-  Then  -RDQ-  and  -LBQ-  Now  -RDQ-  _ the first half recalls their courtship and early-to-middle married life ; the second describes Murdoch 's decline and Bayley 's determination to care for her himself as long as he could .,never,more,shrewd,3,6,7,"{'lemma': 'shrewd', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'never', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'shrewd'}",neg,"{'lemma': 'shrewd', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'more', 'ix': 6, 'xpos': 'RBR', 'deprel': 'advmod', 'head': 'shrewd'}",advmod,nyt_eng_199912,3-6-7,immediateNeg
nyt_eng_19991206_0052_10:9-10-11,that_discerning,"A. Well , maybe your Schnauzer 's schnoz is n't that discerning , but Dr. Larry Myers , of the Veterinary School at Auburn University , says dogs are at the top of the animal kingdom -LRB- along with rats -RRB- when it comes to their ability to smell .",n't,that,discerning,"schnoz is n't that discerning , but",nyt_eng_19991206_0052_10,-LRB- end poetry style -RRB-,"A. Well , maybe your Schnauzer 's schnoz is n't that discerning , but Dr. Larry Myers , of the Veterinary School at Auburn University , says dogs are at the top of the animal kingdom -LRB- along with rats -RRB- when it comes to their ability to smell .","A. Well , maybe you schnauzer 's schnoz be not that discerning , but Dr. Larry Myers , of the veterinary School at Auburn University , say dog be at the top of the animal kingdom -lrb- along with rat -rrb- when it come to they ability to smell .","He says in one test , dogs were 1,000 times better at smelling a test odor than humans .",n't,that,discerning,9,10,11,"{'lemma': 'discerning', 'ix': 11, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 9, 'xpos': 'RB', 'deprel': 'neg', 'head': 'discerning'}",neg,"{'lemma': 'discerning', 'ix': 11, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'that', 'ix': 10, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'discerning'}",advmod,nyt_eng_199912,9-10-11,immediateNeg
nyt_eng_19991206_0047_26:3-4-5,really_interested,But Stern is n't really interested in rants .,n't,really,interested,Stern is n't really interested in rants,nyt_eng_19991206_0047_26,"Stern does not spend a lot of time mixing it up with the antismoking commandos , though she believes their campaign  -LBQ-  operates within an economy of moralism , with a rhetoric of abhorrence that appeals to the ` common good , '  -RDQ-  and that  -LBQ-  smokers are made to feel socially guilty , as though acting criminally against the common good .  -RDQ-",but Stern is n't really interested in rants .,but Stern be not really interested in rant .,"Instead , she has fashioned a book with the dexterity of a jazz riff and the ethereal beauty of a smoke ring .",n't,really,interested,3,4,5,"{'lemma': 'interested', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'interested'}",neg,"{'lemma': 'interested', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'really', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'interested'}",advmod,nyt_eng_199912,3-4-5,immediateNeg
nyt_eng_19991206_0046_35:2-3-4,quite_true,This was n't quite true ; Edison died a millionaire .,n't,quite,true,this was n't quite true ; Edison,nyt_eng_19991206_0046_35,"His friend and admirer , Henry Ford , called Edison  -LBQ-  the world 's greatest inventor and worst businessman .  -RDQ-",this was n't quite true ; Edison died a millionaire .,this be not quite true ; Edison die a millionaire .,"But , as Paul Israel , editor of the Edison papers at Rutgers University , says ,  -LBQ-  He was interested in solving technical problems and bringing them to market ; he was n't interested in running a business .  -RDQ-",n't,quite,true,2,3,4,"{'lemma': 'true', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'true'}",neg,"{'lemma': 'true', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'quite', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'true'}",advmod,nyt_eng_199912,2-3-4,immediateNeg
nyt_eng_19991206_0045_12:4-5-6,as_far-reaching,The proposed standard is not as far-reaching as it could have been .,not,as,far-reaching,standard is not as far-reaching as it,nyt_eng_19991206_0045_12,"Construction , maritime , and agricultural industry workers would be excluded .",the proposed standard is not as far-reaching as it could have been .,the propose standard be not as far-reaching as it could have be .,"Overall , it would apply to only 25 percent of general industry employers ; the other 75 percent would not be affected unless a documented , work-related injury occurred at their work sites .",not,as,far-reaching,4,5,6,"{'lemma': 'far-reaching', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 4, 'xpos': 'RB', 'deprel': 'neg', 'head': 'far-reaching'}",neg,"{'lemma': 'far-reaching', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'as', 'ix': 5, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'far-reaching'}",advmod,nyt_eng_199912,4-5-6,immediateNeg
