bigram_lower,SUM,ADJ,NEG
quite_cut,4,4,0
least_interesting,4,4,0
only_pale,4,4,0
so_dizzy,4,4,0
technically_dependent,4,4,0
genuinely_popular,4,4,0
now_famous,4,4,0
quite_curly,4,4,0
overly_compatible,4,4,0
now_full,4,4,0
more_appalled,4,4,0
now_hard,4,4,0
legally_adequate,4,4,0
more_aromatic,4,3,1
remotely_fashionable,4,3,1
technically_enforceable,4,4,0
overly_compliant,4,4,0
remotely_factual,4,4,0
genuinely_kind,4,4,0
so_doable,4,4,0
more_anticlimactic,4,2,2
technically_exhaustive,4,4,0
genuinely_interesting,4,2,2
quite_cumbersome,4,4,0
so_dodgy,4,4,0
genuinely_independent,4,4,0
remotely_exploitable,4,4,0
really_direct,4,4,0
technically_compliant,4,4,0
least_due,4,4,0
remotely_natural,4,1,3
remotely_impressive,4,3,1
geographically_large,4,4,0
largely_concerned,4,4,0
noticeably_pregnant,4,4,0
remotely_large,4,4,0
noticeably_successful,4,4,0
largely_invisible,4,4,0
geographically_feasible,4,4,0
particularly_legal,4,3,1
so_distressed,4,4,0
remotely_inspiring,4,2,2
geographically_convenient,4,4,0
particularly_lazy,4,3,1
notoriously_hard,4,4,0
largely_unknown,4,3,1
precisely_positive,4,4,0
remotely_grand,4,1,3
genuinely_willing,4,4,0
more_atmospheric,4,3,1
so_disturbed,4,4,0
overly_coarse,4,4,0
only_paradoxical,4,4,0
precisely_predictable,4,4,0
only_palestinian,4,4,0
genuinely_sorry,4,4,0
precisely_real,4,4,0
genuinely_serious,4,4,0
quite_damning,4,4,0
remotely_hard,4,4,0
now_complete,4,4,0
rather_young,4,4,0
precisely_simple,4,4,0
technically_final,4,4,0
particularly_jazzy,4,1,3
objectively_correct,4,4,0
more_amateurish,4,4,0
genuinely_angry,4,4,0
legally_exempt,4,4,0
more_alternative,4,3,1
technically_irish,4,4,0
genetically_viable,4,4,0
legally_female,4,4,0
really_diligent,4,4,0
genetically_unique,4,4,0
only_overwhelmed,4,4,0
nutritionally_valuable,4,3,1
overly_convenient,4,4,0
remotely_chinese,4,2,2
technically_magic,4,4,0
more_affecting,4,3,1
remotely_expert,4,4,0
objectively_false,4,4,0
genetically_possible,4,4,0
technically_mandatory,4,4,0
genetically_perfect,4,4,0
objectively_justifiable,4,4,0
particularly_intensive,4,4,0
genetically_incapable,4,4,0
somewhat_confused,4,4,0
somewhat_concerned,4,4,0
remotely_beneficial,4,2,2
particularly_ingenious,4,2,2
legally_obligatory,4,4,0
overly_coy,4,4,0
overly_cramped,4,4,0
nutritionally_inferior,4,4,0
overly_confused,4,4,0
remotely_complete,4,4,0
nutritionally_better,4,4,0
genuinely_hideous,4,4,0
remotely_exhaustive,4,4,0
overly_conducive,4,4,0
technically_flawed,4,4,0
so_domestic,4,4,0
remotely_evident,4,4,0
legally_compulsory,4,4,0
quite_crucial,4,4,0
now_negligent,4,4,0
quite_crowded,4,4,0
remotely_erotic,4,3,1
technically_gay,4,4,0
quite_critical,4,4,0
now_perfect,4,4,0
really_dire,4,3,1
now_responsible,4,3,1
remotely_dodgy,4,0,4
now_sufficient,4,4,0
remotely_curious,4,4,0
remotely_conventional,4,1,3
more_anachronistic,4,4,0
remotely_controllable,4,4,0
technically_important,4,4,0
remotely_connected,4,4,0
somewhat_difficult,4,4,0
numerically_superior,4,4,0
precisely_synonymous,4,4,0
genuinely_competitive,4,4,0
remotely_confident,4,4,0
largely_attributable,4,4,0
somewhat_racist,4,4,0
really_enamored,4,4,0
not_tall,4,4,0
surprisingly_different,4,4,0
not_square,4,4,0
just_uplifting,4,4,0
rather_sudden,4,4,0
more_coincidental,4,4,0
not_strange,4,4,0
more_co-operative,4,4,0
precisely_aware,4,4,0
remotely_sophisticated,4,2,2
not_such,4,4,0
so_discriminatory,4,3,1
just_usual,4,4,0
more_civilised,4,3,1
not_sympathetic,4,4,0
grossly_misleading,4,4,0
grossly_underpaid,4,4,0
really_drastic,4,1,3
remotely_significant,4,2,2
not_tight,4,4,0
just_vast,4,4,0
more_chaste,4,4,0
grossly_immoral,4,4,0
overly_antagonistic,4,4,0
not_transparent,4,4,0
only_perceptible,4,4,0
more_changeable,4,4,0
more_centrist,4,3,1
overly_argumentative,4,4,0
overly_arrogant,4,4,0
greatly_surprised,4,3,1
particularly_naive,4,4,0
grossly_unethical,4,4,0
geographically_widespread,4,4,0
overly_accessible,4,4,0
over_smart,4,4,0
more_contented,4,4,0
not_sacred,4,4,0
not_satisfying,4,4,0
supremely_powerful,4,4,0
more_connected,4,4,0
supremely_soft,4,4,0
not_scientific,4,4,0
really_edgy,4,4,0
not_selfish,4,4,0
just_unsatisfied,4,4,0
overly_abrasive,4,4,0
not_sensible,4,4,0
not_separate,4,4,0
quite_economical,4,4,0
more_comic,4,3,1
half_free,4,4,0
not_sexy,4,4,0
remotely_strong,4,2,2
not_similar,4,4,0
half_decent,4,4,0
particularly_neat,4,4,0
remotely_straight,4,3,1
quite_dynamic,4,4,0
more_communist,4,4,0
just_unstable,4,4,0
just_unsupported,4,4,0
just_untenable,4,4,0
grossly_unreasonable,4,4,0
just_unwarranted,4,4,0
not_unexpected,4,4,0
greatly_significant,4,4,0
not_unknown,4,4,0
overly_brave,4,4,0
quite_devoid,4,4,0
precisely_good,4,4,0
overly_blunt,4,4,0
remotely_proportionate,4,4,0
quite_devastating,4,4,0
just_workable,4,4,0
more_bland,4,4,0
overly_boring,4,4,0
grammatically_accurate,4,4,0
so_disquieting,4,3,1
more_binding,4,4,0
remotely_pornographic,4,2,2
more_bewildering,4,3,1
notably_new,4,3,1
goddamn_funny,4,4,0
greatly_popular,4,4,0
notably_religious,4,4,0
more_bewildered,4,4,0
systemically_wrong,4,0,4
somewhat_worse,4,3,1
tactically_smart,4,3,1
keenly_observant,4,4,0
globally_unique,4,4,0
kinda_awesome,4,4,0
somewhat_unfair,4,4,0
noticeably_absent,4,4,0
somewhat_strange,4,4,0
somewhat_skeptical,4,4,0
noticeably_effective,4,4,0
somewhat_responsible,4,4,0
graphically_advanced,4,4,0
just_wiser,4,4,0
graphically_appealing,4,4,0
graphically_beautiful,4,4,0
just_vocal,4,4,0
just_voluntary,4,4,0
surprisingly_much,4,4,0
surprisingly_new,4,2,2
particularly_masterful,4,4,0
more_buggy,4,4,0
not_wealthy,4,4,0
particularly_manly,4,4,0
greatly_fond,4,4,0
greatly_familiar,4,4,0
more_broken,4,4,0
particularly_male,4,3,1
more_broad,4,4,0
quite_disturbing,4,4,0
greatly_afraid,4,4,0
particularly_magic,4,0,4
gravely_mistaken,4,4,0
quite_distracting,4,4,0
surprisingly_strong,4,4,0
gravely_endangered,4,4,0
quite_distinguishable,4,4,0
suspiciously_similar,4,4,0
more_bloody,4,3,1
just_windy,4,4,0
remotely_reminiscent,4,3,1
remotely_remarkable,4,0,4
more_bloated,4,4,0
graphically_detailed,4,4,0
more_blind,4,2,2
normally_adequate,4,4,0
just_senseless,4,4,0
normally_acceptable,4,4,0
politically_opportune,4,4,0
super_abundant,4,4,0
more_prideful,4,3,1
really_needy,4,4,0
just_minor,4,4,0
necessarily_noble,4,4,0
so_complementary,4,4,0
more_predominant,4,4,0
otherwise_clear,4,4,0
necessarily_obsessed,4,4,0
more_potential,4,4,0
just_moderate,4,4,0
more_posh,4,3,1
just_modest,4,4,0
particularly_verbose,4,4,0
just_monumental,4,4,0
so_comparable,4,4,0
quite_indian,4,4,0
however_important,4,1,3
super_ambitious,4,3,1
seriously_delinquent,4,4,0
just_mortal,4,4,0
super_anxious,4,4,0
necessarily_ongoing,4,4,0
necessarily_online,4,4,0
super_appropriate,4,4,0
just_muddy,4,4,0
really_muscular,4,4,0
just_mundane,4,4,0
more_pink,4,4,0
just_narcissistic,4,4,0
more_primary,4,4,0
however_satisfied,4,4,0
really_opaque,4,4,0
necessarily_modern,4,4,0
particularly_walkable,4,4,0
necessarily_manipulative,4,4,0
hugely_dependent,4,4,0
hugely_controversial,4,4,0
more_raucous,4,3,1
necessarily_masculine,4,4,0
politically_liberal,4,4,0
necessarily_mathematical,4,4,0
necessarily_mature,4,3,1
just_mass,4,4,0
more_rabid,4,3,1
necessarily_minimalist,4,4,0
hugely_compelling,4,4,0
more_purposeful,4,3,1
hugely_clear,4,4,0
just_mild,4,3,1
seriously_funny,4,4,0
just_mean-spirited,4,4,0
seriously_fun,4,4,0
more_pungent,4,4,0
really_obligatory,4,4,0
particularly_vulgar,4,3,1
really_nutritious,4,3,1
necessarily_nasty,4,4,0
necessarily_national,4,4,0
necessarily_neat,4,4,0
just_melancholy,4,4,0
seriously_disruptive,4,4,0
just_merry,4,4,0
specially_related,4,4,0
rather_disturbing,4,4,0
however_aware,4,4,0
necessarily_outdoors,4,4,0
only_reactionary,4,4,0
super_comforting,4,4,0
otherwise_inclined,4,4,0
just_objectionable,4,4,0
just_oblivious,4,4,0
necessarily_prescriptive,4,4,0
more_ornate,4,4,0
super_compatible,4,4,0
just_obscure,4,4,0
more_optimal,4,3,1
necessarily_pricey,4,4,0
necessarily_pro-american,4,4,0
horribly_sick,4,4,0
particularly_traumatic,4,4,0
more_obtrusive,4,4,0
horribly_scary,4,4,0
super_black,4,4,0
horribly_sad,4,4,0
particularly_touristy,4,4,0
only_reachable,4,4,0
necessarily_provocative,4,4,0
so_connected,4,4,0
super_controversial,4,4,0
more_obligated,4,3,1
super_convincing,4,4,0
necessarily_queer,4,4,0
super_cooperative,4,4,0
just_oral,4,4,0
more_nondescript,4,4,0
politically_simple,4,4,0
necessarily_rabid,4,4,0
politically_responsible,4,4,0
horribly_ugly,4,4,0
politically_reliable,4,4,0
horribly_uncomfortable,4,4,0
particularly_unsafe,4,4,0
more_phenomenal,4,3,1
necessarily_overdue,4,4,0
politically_practicable,4,4,0
really_motivating,4,4,0
quite_inclusive,4,4,0
politically_problematic,4,4,0
super_capable,4,4,0
really_moral,4,4,0
particularly_unlucky,4,4,0
necessarily_pessimistic,4,4,0
seriously_bad,4,2,2
necessarily_picky,4,4,0
more_patriarchal,4,4,0
super_chatty,4,4,0
otherwise_healthy,4,4,0
more_past,4,4,0
seriously_angry,4,4,0
really_moderate,4,4,0
just_nonsense,4,4,0
only_reductive,4,4,0
rather_excessive,4,4,0
more_painless,4,4,0
necessarily_poetic,4,4,0
otherwise_illegal,4,4,0
super_clever,4,4,0
specially_good,4,4,0
horribly_unpleasant,4,3,1
particularly_truthful,4,4,0
hugely_detailed,4,4,0
just_major,4,4,0
highly_protective,4,4,0
only_retrograde,4,4,0
perfectly_coherent,4,4,0
necessarily_greedy,4,4,0
really_plastic,4,4,0
necessarily_gritty,4,4,0
quite_inventive,4,4,0
perfectly_charming,4,4,0
more_shiny,4,3,1
necessarily_habitable,4,4,0
only_revelatory,4,4,0
specifically_bad,4,2,2
perfectly_bilingual,4,4,0
really_photogenic,4,4,0
really_philosophical,4,4,0
hugely_strong,4,4,0
just_israeli,4,4,0
necessarily_grand,4,4,0
politically_extreme,4,4,0
perfectly_balanced,4,4,0
necessarily_heretical,4,4,0
hugely_serious,4,3,1
more_senseless,4,2,2
only_retro,4,4,0
more_senior,4,3,1
necessarily_hilarious,4,4,0
radically_feminist,4,4,0
sufficiently_spiritual,4,4,0
necessarily_historic,4,4,0
just_juvenile,4,4,0
politically_fraught,4,3,1
sufficiently_stiff,4,4,0
necessarily_greatest,4,4,0
sufficiently_scared,4,4,0
quite_infallible,4,4,0
severely_damaged,4,4,0
more_somber,4,4,0
necessarily_freer,4,4,0
perfectly_conventional,4,4,0
really_pop,4,4,0
hyper_aware,4,4,0
severely_dependent,4,4,0
just_intentional,4,4,0
necessarily_frightening,4,4,0
more_slow,4,3,1
more_sloppy,4,4,0
sufficiently_revolutionary,4,4,0
specifically_british,4,4,0
necessarily_front,4,4,0
perfectly_congruent,4,4,0
sufficiently_rich,4,4,0
hugely_wealthy,4,4,0
so_civilised,4,4,0
sufficiently_rigid,4,4,0
really_poisonous,4,4,0
so_classical,4,4,0
really_pointless,4,4,0
necessarily_fundamental,4,4,0
more_simplistic,4,4,0
only_reversible,4,4,0
just_invalid,4,4,0
necessarily_good-looking,4,4,0
hugely_wrong,4,1,3
more_shy,4,4,0
more_shortsighted,4,3,1
necessarily_gradual,4,4,0
just_lacking,4,3,1
just_lackluster,4,4,0
necessarily_humorous,4,4,0
more_reputable,4,4,0
so_collegial,4,4,0
just_live,4,4,0
only_replete,4,4,0
necessarily_intimidating,4,4,0
rather_amazing,4,4,0
more_revelatory,4,2,2
passionately_interested,4,4,0
originally_apparent,4,4,0
seriously_mistaken,4,4,0
necessarily_irish,4,4,0
just_long-term,4,4,0
so_colossal,4,4,0
necessarily_italian,4,4,0
more_resolute,4,4,0
seriously_lacking,4,4,0
more_sedate,4,3,1
more_repetitive,4,4,0
politically_innocent,4,4,0
politically_interested,4,4,0
so_combustible,4,3,1
particularly_wholesome,4,4,0
more_relentless,4,1,3
hugely_enjoyable,4,4,0
necessarily_literary,4,4,0
necessarily_long-lasting,4,4,0
hugely_dynamic,4,4,0
hugely_dramatic,4,3,1
sufficiently_upset,4,4,0
necessarily_long-term,4,4,0
seriously_impressed,4,4,0
really_outspoken,4,4,0
just_livable,4,4,0
necessarily_intellectual,4,4,0
necessarily_integral,4,4,0
radically_honest,4,4,0
perfectly_adequate,4,4,0
hugely_painful,4,4,0
perfectly_adaptable,4,4,0
just_latin,4,4,0
more_sci-fi,4,3,1
so_coercive,4,4,0
just_lavish,4,4,0
sufficiently_sturdy,4,4,0
ordinarily_liable,4,4,0
hugely_offensive,4,4,0
necessarily_immutable,4,4,0
necessarily_impartial,4,4,0
necessarily_imperative,4,4,0
only_resourceful,4,4,0
so_cognizant,4,4,0
hugely_meaningful,4,4,0
hugely_likely,4,4,0
necessarily_incongruous,4,4,0
necessarily_indigenous,4,4,0
necessarily_ineligible,4,4,0
more_rotten,4,4,0
patently_unconstitutional,4,4,0
just_liquid,4,4,0
necessarily_insignificant,4,4,0
just_listenable,4,4,0
really_overcome,4,4,0
patently_illegal,4,3,1
originally_able,4,4,0
necessarily_racial,4,4,0
more_neutral,4,4,0
really_metallic,4,4,0
necessarily_upbeat,4,4,0
more_indelible,4,3,1
quite_general,4,4,0
necessarily_unmanageable,4,4,0
historically_awful,4,4,0
necessarily_unqualified,4,4,0
historically_available,4,4,0
particularly_sincere,4,4,0
quite_gay,4,4,0
necessarily_unreliable,4,4,0
particularly_silly,4,3,1
outright_absurd,4,4,0
more_incompetent,4,4,0
outright_annoying,4,4,0
super_messy,4,4,0
just_recognizable,4,4,0
really_inventive,4,3,1
really_intent,4,4,0
particularly_sensual,4,3,1
outright_awful,4,4,0
necessarily_verifiable,4,4,0
necessarily_vicious,4,4,0
super_needy,4,4,0
necessarily_vintage,4,4,0
necessarily_viral,4,4,0
more_impersonal,4,2,2
outright_best,4,4,0
more_impenetrable,4,2,2
necessarily_waterproof,4,4,0
really_inspirational,4,2,2
outright_challenging,4,4,0
super_major,4,2,2
particularly_sinful,4,2,2
more_needy,4,4,0
necessarily_uncomplicated,4,4,0
super_intentional,4,4,0
historically_interesting,4,4,0
super_intriguing,4,4,0
historically_inevitable,4,4,0
more_instantaneous,4,3,1
quite_golden,4,4,0
particularly_soluble,4,4,0
just_quality,4,4,0
really_juicy,4,0,4
necessarily_unaware,4,4,0
super_jealous,4,4,0
necessarily_unbiased,4,4,0
quite_giddy,4,4,0
more_inherent,4,4,0
possibly_enough,4,4,0
more_individualistic,4,3,1
necessarily_understandable,4,4,0
necessarily_uneducated,4,4,0
only_pristine,4,4,0
rather_long,4,4,0
more_inflexible,4,3,1
just_quixotic,4,4,0
super_late,4,4,0
particularly_slick,4,4,0
particularly_sleepy,4,4,0
only_prior,4,4,0
necessarily_unimportant,4,4,0
particularly_skillful,4,4,0
historically_credible,4,3,1
quite_generous,4,4,0
just_relentless,4,4,0
particularly_scrupulous,4,4,0
more_imaginary,4,2,2
just_scandalous,4,4,0
never_malicious,4,4,0
more_hellish,4,3,1
highly_safe,4,4,0
highly_risky,4,4,0
quite_foolish,4,4,0
particularly_righteous,4,3,1
never_okay,4,4,0
more_hearty,4,3,1
really_inconvenient,4,4,0
scientifically_measurable,4,4,0
scientifically_legitimate,4,4,0
particularly_reusable,4,4,0
just_sane,4,4,0
outright_fatal,4,4,0
outright_frightening,4,4,0
only_pretentious,4,4,0
scientifically_important,4,4,0
scientifically_illiterate,4,4,0
just_scenic,4,4,0
just_scholarly,4,4,0
just_second,4,4,0
just_secular,4,4,0
so_deceitful,4,3,1
potentially_explosive,4,3,1
more_gutsy,4,3,1
particularly_resilient,4,4,0
no_much,4,4,0
no_thinner,4,4,0
safely_accessible,4,4,0
sadly_true,4,4,0
never_late,4,4,0
scientifically_qualified,4,4,0
outright_disturbing,4,4,0
super_pale,4,4,0
really_insecure,4,4,0
more_illustrious,4,3,1
so_danceable,4,4,0
more_idle,4,4,0
more_identical,4,4,0
sorely_disappointed,4,4,0
super_offensive,4,3,1
just_renewable,4,4,0
particularly_sane,4,4,0
outright_confusing,4,4,0
outright_contemptuous,4,4,0
only_prescient,4,4,0
more_humid,4,4,0
needlessly_offensive,4,4,0
outright_damaging,4,3,1
more_hotter,4,2,2
particularly_rugged,4,4,0
quite_fortunate,4,4,0
really_indifferent,4,4,0
potentially_better,4,4,0
just_restrictive,4,4,0
more_horny,4,4,0
outright_disastrous,4,3,1
never_alone,4,4,0
more_high-tech,4,2,2
scientifically_robust,4,4,0
never_final,4,4,0
quite_foolproof,4,4,0
never_free,4,4,0
particularly_sore,4,4,0
more_intact,4,4,0
necessarily_unable,4,4,0
otherwise_punishable,4,4,0
horribly_boring,4,4,0
only_quaint,4,4,0
horribly_afraid,4,4,0
really_massive,4,4,0
just_persistent,4,4,0
really_mass,4,4,0
seemingly_wrong,4,0,4
necessarily_sensual,4,4,0
super_elite,4,4,0
necessarily_sentient,4,4,0
just_persuasive,4,4,0
super_engaging,4,4,0
just_perverse,4,4,0
more_masterful,4,4,0
necessarily_shallow,4,4,0
necessarily_skinny,4,4,0
super_eventful,4,3,1
necessarily_sharper,4,4,0
particularly_technological,4,2,2
super_explicit,4,4,0
particularly_tactful,4,4,0
really_marketable,4,4,0
super_extroverted,4,4,0
quite_hoppy,4,4,0
hopelessly_retrograde,4,4,0
necessarily_simplistic,4,4,0
politically_unstable,4,4,0
otherwise_recoverable,4,4,0
so_cosmic,4,3,1
so_cosmopolitan,4,4,0
more_melodic,4,3,1
just_perfunctory,4,4,0
more_meritorious,4,3,1
more_mindless,4,3,1
just_other,4,4,0
more_nationalistic,4,4,0
super_crisp,4,4,0
so_consuming,4,3,1
really_sheer,4,4,0
necessarily_regular,4,4,0
super_curvy,4,4,0
only_quirky,4,4,0
politically_sound,4,4,0
more_musical,4,2,2
just_overblown,4,4,0
super_cutesy,4,4,0
necessarily_reprehensible,4,4,0
just_overrated,4,4,0
horribly_inconvenient,4,4,0
necessarily_rewarding,4,4,0
necessarily_rhetorical,4,4,0
just_palpable,4,4,0
just_parallel,4,4,0
just_paramount,4,4,0
so_contemptuous,4,4,0
just_part-time,4,4,0
just_partial,4,4,0
particularly_thrifty,4,4,0
super_dirty,4,4,0
horribly_disappointed,4,4,0
horribly_depressing,4,4,0
horribly_dangerous,4,4,0
horribly_cruel,4,3,1
super_fashionable,4,4,0
so_counterintuitive,4,4,0
outrageously_good,4,4,0
so_crooked,4,4,0
necessarily_systematic,4,4,0
home_long,4,4,0
necessarily_tasteful,4,4,0
so_crippling,4,4,0
necessarily_temporary,4,4,0
really_literary,4,4,0
positively_harmful,4,4,0
historically_valuable,4,3,1
particularly_steamy,4,4,0
necessarily_terrifying,4,4,0
necessarily_thankful,4,4,0
necessarily_therapeutic,4,4,0
super_horrible,4,4,0
rather_large,4,4,0
necessarily_top,4,4,0
more_live,4,3,1
really_legible,4,4,0
outrageously_difficult,4,4,0
more_intractable,4,1,3
necessarily_traceable,4,4,0
just_provincial,4,4,0
quite_grey,4,4,0
really_lame,4,4,0
historically_possible,4,4,0
historically_plausible,4,4,0
super_inexpensive,4,3,1
more_interdependent,4,4,0
historically_new,4,4,0
quite_graphic,4,4,0
more_intellectual,4,1,3
just_preventable,4,4,0
more_junior,4,4,0
only_programmable,4,4,0
more_juvenile,4,2,2
super_feminine,4,4,0
necessarily_softer,4,4,0
more_literate,4,4,0
necessarily_solemn,4,4,0
necessarily_sorry,4,4,0
more_like,4,4,0
just_poisonous,4,4,0
really_malty,4,4,0
otherwise_sick,4,4,0
super_forgiving,4,4,0
more_lighthearted,4,4,0
just_pop,4,4,0
necessarily_sterile,4,4,0
just_pornographic,4,4,0
just_porous,4,4,0
more_life-changing,4,1,3
particularly_studious,4,4,0
particularly_striking,4,1,3
really_macho,4,3,1
more_lax,4,4,0
quite_homeless,4,4,0
otherwise_unlawful,4,4,0
necessarily_such,4,4,0
really_low-cost,4,4,0
more_lacking,4,3,1
necessarily_suicidal,4,4,0
just_presidential,4,4,0
otherwise_useful,4,4,0
necessarily_superstitious,4,4,0
singularly_clear,4,4,0
however_new,4,4,0
very_tranquil,4,4,0
very_complacent,4,4,0
as_serendipitous,4,4,0
as_serviceable,4,4,0
that_partial,4,4,0
completely_ecstatic,4,4,0
too_apt,4,3,1
totally_afraid,4,4,0
totally_affordable,4,4,0
enough_high,4,4,0
even_vital,4,4,0
yet_airtight,4,4,0
as_short-sighted,4,4,0
uniquely_stupid,4,4,0
totally_accustomed,4,4,0
enough_japanese,4,4,0
actually_faithful,4,4,0
uniquely_talented,4,4,0
even_valuable,4,4,0
uniquely_terrible,4,3,1
completely_disrespectful,4,4,0
enough_motivated,4,4,0
as_spartan,4,3,1
as_specialized,4,4,0
already_commonplace,4,4,0
enough_funny,4,3,1
totally_alike,4,4,0
even_wild,4,4,0
exactly_odd,4,4,0
as_relieved,4,3,1
too_amusing,4,4,0
already_different,4,4,0
totally_asleep,4,4,0
as_saddening,4,3,1
as_sandy,4,4,0
as_satirical,4,3,1
as_sculptural,4,4,0
completely_exact,4,4,0
already_dependent,4,4,0
totally_anomalous,4,4,0
even_wireless,4,4,0
totally_annoying,4,4,0
completely_enough,4,4,0
very_concentrated,4,4,0
exactly_offensive,4,4,0
uniquely_religious,4,3,1
as_self-reliant,4,4,0
even_witty,4,4,0
as_seminal,4,4,0
actually_endless,4,4,0
uniquely_russian,4,3,1
as_stationary,4,4,0
even_urgent,4,4,0
enough_blue,4,4,0
already_clean,4,4,0
actually_golden,4,4,0
even_understandable,4,4,0
completely_desolate,4,4,0
exactly_overpriced,4,4,0
as_tortured,4,4,0
too_vintage,4,3,1
as_traceable,4,4,0
too_authoritarian,4,4,0
very_comic,4,2,2
as_translucent,4,4,0
as_transportable,4,4,0
actually_greener,4,4,0
too_vapid,4,4,0
as_tyrannical,4,4,0
even_truthful,4,4,0
actually_grumpy,4,4,0
too_usable,4,4,0
as_uncontroversial,4,4,0
actually_handicapped,4,4,0
entirely_accustomed,4,4,0
entirely_achievable,4,4,0
as_unconvincing,4,4,0
exactly_partisan,4,4,0
exclusively_technical,4,4,0
that_physical,4,4,0
too_virtuous,4,4,0
enough_safe,4,4,0
exactly_outgoing,4,4,0
completely_disingenuous,4,4,0
as_superfluous,4,4,0
actually_fine,4,4,0
too_wooden,4,4,0
too_witty,4,4,0
exclusively_young,4,4,0
already_certain,4,4,0
even_unpleasant,4,4,0
too_wicked,4,4,0
enough_satisfied,4,4,0
as_tolerable,4,4,0
very_communist,4,4,0
completely_disappointing,4,4,0
very_communal,4,4,0
as_tepid,4,4,0
yet_abundant,4,4,0
even_universal,4,4,0
even_unionized,4,4,0
as_terminal,4,4,0
enough_sweet,4,4,0
even_unexpected,4,4,0
totally_atypical,4,4,0
actually_digital,4,4,0
actually_higher,4,4,0
as_predatory,4,4,0
exactly_neat,4,4,0
totally_clear-cut,4,4,0
already_fond,4,4,0
completely_high,4,4,0
as_pastoral,4,4,0
completely_heterosexual,4,4,0
as_penetrating,4,4,0
totally_cheesy,4,4,0
that_one-dimensional,4,4,0
as_permeable,4,4,0
as_permissible,4,4,0
that_opaque,4,4,0
as_perverted,4,4,0
yet_black,4,4,0
ever_average,4,4,0
too_aged,4,4,0
completely_hairless,4,4,0
ever_automatic,4,3,1
actually_creepy,4,4,0
ever_ashamed,4,4,0
as_possessive,4,4,0
completely_groundless,4,4,0
completely_groundbreaking,4,3,1
that_ok,4,4,0
totally_cold,4,3,1
completely_homogenous,4,4,0
totally_conservative,4,4,0
as_nomadic,4,4,0
empirically_valid,4,4,0
as_non-partisan,4,4,0
vitally_concerned,4,4,0
exactly_musical,4,4,0
exactly_mysterious,4,4,0
uniquely_french,4,4,0
theoretically_capable,4,4,0
exactly_naked,4,4,0
completely_illiterate,4,4,0
vitally_essential,4,3,1
already_functional,4,4,0
actually_communist,4,4,0
totally_conflicted,4,4,0
totally_conducive,4,4,0
totally_condescending,4,4,0
actually_constant,4,4,0
actually_constitutional,4,4,0
totally_competent,4,4,0
as_overcome,4,4,0
as_overrated,4,4,0
actually_contradictory,4,4,0
exactly_non-existent,4,4,0
completely_gray,4,4,0
actually_digestible,4,4,0
yet_bigger,4,4,0
completely_friendly,4,4,0
totally_beneficial,4,4,0
explicitly_apparent,4,4,0
explicitly_anti-semitic,4,4,0
as_prosaic,4,2,2
enormously_surprising,4,4,0
enormously_talented,4,4,0
already_embarrassing,4,4,0
as_psychedelic,4,4,0
totally_bankrupt,4,4,0
as_psychological,4,4,0
actually_dependent,4,4,0
as_recyclable,4,4,0
completely_foolhardy,4,4,0
completely_flawed,4,4,0
completely_flattering,4,4,0
completely_fictitious,4,4,0
enough_appealing,4,4,0
actually_detailed,4,4,0
exactly_notable,4,4,0
too_amazed,4,4,0
yet_automatic,4,4,0
vocally_perfect,4,4,0
enormously_profitable,4,4,0
as_pro-life,4,4,0
actually_delusional,4,4,0
as_pro-american,4,4,0
completely_gratuitous,4,4,0
actually_culpable,4,4,0
actually_curious,4,4,0
totally_british,4,4,0
actually_current,4,4,0
too_agitated,4,4,0
as_primary,4,4,0
that_orderly,4,4,0
enormously_helpful,4,4,0
too_agreeable,4,3,1
ever_alive,4,4,0
completely_frustrating,4,4,0
theologically_problematic,4,4,0
as_pro-choice,4,4,0
actually_deadly,4,4,0
completely_generic,4,4,0
yet_beautiful,4,4,0
completely_gay,4,4,0
explicitly_biblical,4,4,0
enormously_optimistic,4,4,0
totally_bitter,4,4,0
completely_fun,4,4,0
actually_heroic,4,4,0
very_coarse,4,4,0
totally_curable,4,4,0
completely_amoral,4,4,0
very_buggy,4,4,0
even_satisfactory,4,4,0
actually_mexican,4,4,0
too_british,4,4,0
exactly_prophetic,4,4,0
very_brittle,4,4,0
very_brisk,4,4,0
very_breezy,4,4,0
